stationNumber,x,y,z
550,10.8301270874,-20.397766815399997,1.4322679193997998
551,-15.4351613494,1.77075724718,1.5130417624927
552,9.325011755310001,-20.3829465905,1.4366803957737
553,13.0786011903,-19.093419132399998,1.4292000084692
554,10.0902868721,-13.8929812352,1.4520505142835
555,10.856343416600001,-7.39010566117,1.4620081064180999
556,12.324585241500001,-20.392847516699998,1.4277646202415002
557,10.0752199133,-19.0863230567,1.4389054854942
558,-13.1353801462,0.464882535468,1.50918533267034
559,8.60212116638,-8.68249641238,1.4660186153285
560,-14.6354519606,0.46680891948200004,1.5129938651826
561,13.8454270872,-12.6023333082,1.4441329641978
562,6.35558543642,-7.37626459536,1.4734589252312
563,-17.6385534026,0.475041634609,1.5180554569274
564,13.098066707300001,-11.3001808782,1.4496470602089
565,-11.6391269098,0.46227546875799996,1.50717757002415
566,10.8446400713,-12.592960053799999,1.4521518977233
567,13.8324340534,-17.7958742748,1.4316759434972
568,-16.1383152306,0.471754065392,1.5152227927059
569,10.821699849,-17.787687579099998,1.4408199782293
570,9.340743448069999,-12.5873613675,1.4573495682525999
571,10.106449393,-6.08757578224,1.4673593210240998
572,12.3316068981,-17.779295441800002,1.4365365367611
573,7.8524507870199995,-9.983129929250001,1.4659651948387
574,9.35079692791,-9.98861690856,1.4623185833463002
575,10.102785386899999,-8.68601912384,1.4634362680839
576,7.856361573309999,-7.38244758688,1.4699419406963
577,-18.3860717478,1.77909764948,1.5183860645592
578,11.6086428368,-6.0872977603,1.4636157973432
579,12.349615033,-9.992779652240001,1.4535173746168
580,13.1050688411,-8.69670369999,1.4542267903511
581,13.8524802586,-9.99692924861,1.4511779973094001
582,-10.1625926167,-2.24004436971,1.50520995312895
583,-30.3668192369,12.2101739016,1.5828038728829998
584,-19.8849338733,1.7934180665700001,1.5215912442716002
585,-34.1240241116,8.32464764359,1.5570188660708
586,-17.6296521134,3.0796687579600004,1.5198119095479001
587,-16.8860575011,1.77877312463,1.5161382487686001
588,-23.636919000000002,5.6950559397500005,1.5427798493634
589,-21.3903283132,1.7889926679200001,1.5217580505297001
590,-19.1748149718,0.521896159294,1.5175242252527001
591,-28.124440862799997,8.30987972372,1.5592655771408999
592,-21.3676298671,4.3297081218699995,1.5311715221776
593,-16.0136488929,3.1804862617,1.5202386028367
594,-20.6292128962,3.08697034654,1.5262441233113
